"time","geo_value","geo_type","covid","flu","rsv"
2023-09-02,"Central","OH Region",107,6,3
2023-09-02,"East","OH Region",144,5,5
2023-09-02,"North East","OH Region",28,0,0
2023-09-02,"North West","OH Region",14,0,0
2023-09-02,"Ontario","Province",526,19,13
2023-09-02,"Toronto","OH Region",87,4,2
2023-09-02,"West","OH Region",159,8,9
2023-09-09,"Central","OH Region",150,4,6
2023-09-09,"East","OH Region",140,3,5
2023-09-09,"North East","OH Region",26,0,0
2023-09-09,"North West","OH Region",25,0,1
2023-09-09,"Ontario","Province",581,16,20
2023-09-09,"Toronto","OH Region",99,4,3
2023-09-09,"West","OH Region",157,10,10
2023-09-16,"Central","OH Region",140,4,3
2023-09-16,"East","OH Region",150,1,6
2023-09-16,"North East","OH Region",40,0,0
2023-09-16,"North West","OH Region",26,0,1
2023-09-16,"Ontario","Province",651,13,24
2023-09-16,"Toronto","OH Region",119,2,5
2023-09-16,"West","OH Region",188,10,11
2023-09-23,"Central","OH Region",146,5,5
2023-09-23,"East","OH Region",175,1,8
2023-09-23,"North East","OH Region",41,0,0
2023-09-23,"North West","OH Region",20,0,1
2023-09-23,"Ontario","Province",787,14,25
2023-09-23,"Toronto","OH Region",142,3,7
2023-09-23,"West","OH Region",275,9,10
2023-09-30,"Central","OH Region",202,4,7
2023-09-30,"East","OH Region",219,0,11
2023-09-30,"North East","OH Region",36,0,0
2023-09-30,"North West","OH Region",19,0,0
2023-09-30,"Ontario","Province",987,13,34
2023-09-30,"Toronto","OH Region",187,6,9
2023-09-30,"West","OH Region",339,6,13
2023-10-07,"Central","OH Region",249,4,9
2023-10-07,"East","OH Region",232,1,13
2023-10-07,"North East","OH Region",64,1,0
2023-10-07,"North West","OH Region",20,0,1
2023-10-07,"Ontario","Province",1139,12,38
2023-10-07,"Toronto","OH Region",221,4,7
2023-10-07,"West","OH Region",368,7,18
2023-10-14,"Central","OH Region",193,3,13
2023-10-14,"East","OH Region",217,1,15
2023-10-14,"North East","OH Region",77,1,0
2023-10-14,"North West","OH Region",15,0,0
2023-10-14,"Ontario","Province",1041,13,46
2023-10-14,"Toronto","OH Region",215,2,8
2023-10-14,"West","OH Region",338,8,21
2023-10-21,"Central","OH Region",170,4,17
2023-10-21,"East","OH Region",244,2,20
2023-10-21,"North East","OH Region",84,0,2
2023-10-21,"North West","OH Region",21,0,0
2023-10-21,"Ontario","Province",1009,18,62
2023-10-21,"Toronto","OH Region",189,3,9
2023-10-21,"West","OH Region",319,14,22
