"time","geo_value","geo_type","covid","flu","rsv"
2020-08-29,"Ontario","Province",50,NA,NA
2020-08-29,"North East","OH Region",0,NA,NA
2020-08-29,"West","OH Region",0,NA,NA
2020-08-29,"West","OH Region",1,NA,NA
2020-08-29,"West","OH Region",1,NA,NA
2020-08-29,"East","OH Region",2,NA,NA
2020-08-29,"East","OH Region",0,NA,NA
2020-08-29,"West","OH Region",0,NA,NA
2020-08-29,"West","OH Region",0,NA,NA
2020-08-29,"East","OH Region",1,NA,NA
2020-08-29,"Central","OH Region",1,NA,NA
2020-08-29,"East","OH Region",0,NA,NA
2020-08-29,"West","OH Region",0,NA,NA
2020-08-29,"East","OH Region",0,NA,NA
2020-08-29,"West","OH Region",0,NA,NA
2020-08-29,"East","OH Region",0,NA,NA
2020-08-29,"West","OH Region",2,NA,NA
2020-08-29,"West","OH Region",2,NA,NA
2020-08-29,"North East","OH Region",0,NA,NA
2020-08-29,"North West","OH Region",0,NA,NA
2020-08-29,"East","OH Region",8,NA,NA
2020-08-29,"Central","OH Region",12,NA,NA
2020-08-29,"East","OH Region",0,NA,NA
2020-08-29,"North East","OH Region",0,NA,NA
2020-08-29,"North East","OH Region",0,NA,NA
2020-08-29,"West","OH Region",2,NA,NA
2020-08-29,"North East","OH Region",0,NA,NA
2020-08-29,"Central","OH Region",1,NA,NA
2020-08-29,"West","OH Region",0,NA,NA
2020-08-29,"North West","OH Region",0,NA,NA
2020-08-29,"North East","OH Region",0,NA,NA
2020-08-29,"Toronto","OH Region",10,NA,NA
2020-08-29,"Central","OH Region",1,NA,NA
2020-08-29,"West","OH Region",7,NA,NA
2020-08-29,"Central","OH Region",6,NA,NA
2020-09-05,"Ontario","Province",60,NA,NA
2020-09-05,"North East","OH Region",0,NA,NA
2020-09-05,"West","OH Region",0,NA,NA
2020-09-05,"West","OH Region",1,NA,NA
2020-09-05,"West","OH Region",1,NA,NA
2020-09-05,"East","OH Region",2,NA,NA
2020-09-05,"East","OH Region",0,NA,NA
2020-09-05,"West","OH Region",0,NA,NA
2020-09-05,"West","OH Region",0,NA,NA
2020-09-05,"East","OH Region",1,NA,NA
2020-09-05,"Central","OH Region",1,NA,NA
2020-09-05,"East","OH Region",0,NA,NA
2020-09-05,"West","OH Region",0,NA,NA
2020-09-05,"East","OH Region",0,NA,NA
2020-09-05,"West","OH Region",0,NA,NA
2020-09-05,"East","OH Region",0,NA,NA
2020-09-05,"West","OH Region",3,NA,NA
2020-09-05,"West","OH Region",2,NA,NA
2020-09-05,"North East","OH Region",0,NA,NA
2020-09-05,"North West","OH Region",0,NA,NA
2020-09-05,"East","OH Region",7,NA,NA
2020-09-05,"Central","OH Region",12,NA,NA
2020-09-05,"East","OH Region",0,NA,NA
2020-09-05,"North East","OH Region",0,NA,NA
2020-09-05,"North East","OH Region",0,NA,NA
2020-09-05,"West","OH Region",1,NA,NA
2020-09-05,"North East","OH Region",0,NA,NA
2020-09-05,"Central","OH Region",2,NA,NA
2020-09-05,"West","OH Region",0,NA,NA
2020-09-05,"North West","OH Region",0,NA,NA
2020-09-05,"North East","OH Region",0,NA,NA
2020-09-05,"Toronto","OH Region",13,NA,NA
2020-09-05,"Central","OH Region",1,NA,NA
2020-09-05,"West","OH Region",13,NA,NA
2020-09-05,"Central","OH Region",7,NA,NA
2020-09-12,"Ontario","Province",49,NA,NA
2020-09-12,"North East","OH Region",0,NA,NA
2020-09-12,"West","OH Region",0,NA,NA
2020-09-12,"West","OH Region",0,NA,NA
2020-09-12,"West","OH Region",1,NA,NA
2020-09-12,"East","OH Region",1,NA,NA
2020-09-12,"East","OH Region",0,NA,NA
2020-09-12,"West","OH Region",0,NA,NA
2020-09-12,"West","OH Region",0,NA,NA
2020-09-12,"East","OH Region",0,NA,NA
2020-09-12,"Central","OH Region",0,NA,NA
2020-09-12,"East","OH Region",0,NA,NA
2020-09-12,"West","OH Region",0,NA,NA
